1,1000,7.907869
1,2000,82.395278
1,5000,1482.671866
1,7000,3230.171278
1,10000,8327.277122
2,1000,2.808563
2,2000,42.006812
2,5000,852.641680
2,7000,2328.553138
2,10000,4845.800627
4,1000,1.367765
4,2000,21.190638
4,5000,454.557463
4,7000,1262.817058
4,10000,2877.803692
8,1000,0.742485
8,2000,10.372150
8,5000,220.338822
8,7000,647.938820
8,10000,2061.859013
16,1000,0.478606
16,2000,5.052665
16,5000,130.367253
16,7000,356.241376
16,10000,860.035509
28,1000,0.437947
28,2000,3.507187
28,5000,82.539966
28,7000,215.706344
28,10000,598.275326
