1,1000,3.529106
1,2000,26.910761
1,5000,400.175827
1,7000,1043.260569
1,10000,3066.463547
2,1000,1.859286
2,2000,13.650663
2,5000,207.603187
2,7000,562.771277
2,10000,1631.603421
4,1000,1.096378
4,2000,7.012327
4,5000,106.984401
4,7000,287.871055
4,10000,804.361406
8,1000,0.606379
8,2000,3.768714
8,5000,53.526704
8,7000,143.408458
8,10000,412.093829
16,1000,0.382969
16,2000,2.155019
16,5000,28.417647
16,7000,78.232137
16,10000,225.571057
28,1000,0.321600
28,2000,1.430790
28,5000,19.144932
28,7000,46.966143
28,10000,142.200171
