1,1000,3.508303
1,2000,26.955738
1,5000,411.720966
1,7000,1122.281744
1,10000,3261.212294
2,1000,1.826827
2,2000,13.689149
2,5000,207.702288
2,7000,566.158419
2,10000,1621.792778
4,1000,1.081445
4,2000,7.074081
4,5000,104.634122
4,7000,286.667935
4,10000,821.406786
8,1000,0.569146
8,2000,3.754432
8,5000,52.855193
8,7000,142.899982
8,10000,410.800398
16,1000,0.387369
16,2000,2.104102
16,5000,28.657639
16,7000,76.883422
16,10000,222.060057
28,1000,0.340923
28,2000,1.572709
28,5000,18.547058
28,7000,49.341919
28,10000,144.616849
