1,1000,6.838780
1,2000,81.493702
1,5000,1745.317261
1,7000,3593.386553
1,10000,9975.153903
2,1000,2.530020
2,2000,43.262140
2,5000,705.310437
2,7000,1843.698597
2,10000,4668.956680
4,1000,1.296770
4,2000,20.143736
4,5000,448.545696
4,7000,1467.896268
4,10000,4188.358755
8,1000,0.740218
8,2000,10.573210
8,5000,221.164322
8,7000,620.011066
8,10000,2298.494541
16,1000,0.483690
16,2000,4.963492
16,5000,131.875971
16,7000,371.060200
16,10000,930.550696
28,1000,0.422965
28,2000,3.441432
28,5000,82.058692
28,7000,206.114421
28,10000,618.455635
