1,1000,3.5187045
1,2000,26.933249500000002
1,5000,405.9483965
1,7000,1082.7711565
1,10000,3163.8379205
2,1000,1.8430564999999999
2,2000,13.669906000000001
2,5000,207.6527375
2,7000,564.4648480000001
2,10000,1626.6980995
4,1000,1.0889115
4,2000,7.043203999999999
4,5000,105.8092615
4,7000,287.269495
4,10000,812.884096
8,1000,0.5877625
8,2000,3.7615730000000003
8,5000,53.190948500000005
8,7000,143.15422
8,10000,411.4471135
16,1000,0.385169
16,2000,2.1295605
16,5000,28.537643
16,7000,77.5577795
16,10000,223.815557
28,1000,0.3312615
28,2000,1.5017494999999998
28,5000,18.845995000000002
28,7000,48.154031
28,10000,143.40851
